tournament_name,winner_winners,winner_ue,winner_aces,winner_df,loser_winners,loser_ue,loser_aces,loser_df
Australian Open,14,19,0,2,22,35,6,4
Australian Open,16,7,4,0,14,27,3,3
Australian Open,37,28,6,2,21,31,1,4
Australian Open,20,20,2,1,9,29,1,3
Australian Open,8,13,1,1,11,29,2,2
Australian Open,30,34,8,2,25,38,6,1
Australian Open,54,41,25,8,15,16,1,6
Australian Open,22,8,7,0,17,34,2,0
Australian Open,26,28,6,4,17,31,3,2
Australian Open,32,21,4,1,9,22,0,2
Australian Open,26,30,12,2,28,33,2,4
Australian Open,38,33,8,3,19,21,1,0
Australian Open,31,23,8,2,18,18,1,2
Australian Open,33,27,10,1,27,36,6,2
Australian Open,25,10,4,0,21,29,6,4
Australian Open,20,22,7,0,8,24,0,0
Australian Open,33,36,6,3,38,55,3,5
Australian Open,30,26,6,0,45,37,13,3
Australian Open,50,54,6,2,26,34,8,1
Australian Open,19,35,3,6,17,41,1,2
Australian Open,22,13,3,0,17,19,6,2
Australian Open,22,17,2,1,5,15,0,2
Australian Open,22,13,6,0,7,23,1,4
Australian Open,25,26,5,6,29,46,8,4
Australian Open,23,22,6,0,13,25,1,1
Australian Open,17,15,1,2,19,26,3,1
Australian Open,33,18,14,0,20,27,2,3
Australian Open,41,23,5,0,16,12,5,1
Australian Open,24,19,7,4,18,24,4,2
Australian Open,29,29,9,6,51,49,13,8
Australian Open,38,46,7,3,35,45,13,4
Australian Open,28,19,6,5,13,9,8,0
Australian Open,18,19,1,2,18,39,4,6
Australian Open,25,13,4,2,20,20,10,2
Australian Open,15,22,4,1,20,31,2,1
Australian Open,25,16,5,0,9,21,4,1
Australian Open,23,11,4,1,20,16,3,0
Australian Open,21,25,3,1,9,29,1,0
Australian Open,28,27,9,0,16,30,3,1
Australian Open,28,9,5,1,11,16,1,4
Australian Open,27,23,5,0,14,11,3,3
Australian Open,29,22,6,2,18,25,6,2
Australian Open,31,36,7,2,14,20,2,4
Australian Open,33,34,10,4,44,32,21,2
Australian Open,22,23,5,1,12,18,2,0
Australian Open,18,17,3,2,8,26,1,1
Australian Open,33,29,10,0,32,50,1,3
Australian Open,38,36,8,1,16,25,4,4
Australian Open,19,27,6,1,26,37,8,1
Australian Open,47,40,13,4,17,17,4,1
Australian Open,38,27,7,2,20,38,8,1
Australian Open,43,21,12,1,17,22,7,1
Australian Open,52,49,18,2,47,40,15,6
Australian Open,71,35,24,4,58,44,16,4
Australian Open,53,31,19,5,50,59,16,10
Australian Open,30,35,5,1,59,71,12,10
Australian Open,62,36,9,2,50,38,18,2
Australian Open,47,36,9,5,36,39,3,1
Australian Open,85,79,27,19,40,47,1,6
Australian Open,63,41,18,6,67,70,6,10
Australian Open,41,40,9,3,41,47,11,6
Australian Open,68,63,27,6,33,30,19,6
Australian Open,38,16,20,0,27,33,10,5
Australian Open,32,16,5,2,15,27,6,8
Australian Open,63,42,11,6,32,42,11,1
Australian Open,47,38,19,0,11,24,1,1
Australian Open,43,26,15,2,25,32,5,6
Australian Open,28,22,12,2,12,32,1,11
Australian Open,68,51,21,10,49,46,14,3
Australian Open,36,15,20,2,19,34,8,2
Australian Open,36,22,15,1,31,46,10,5
Australian Open,55,77,16,5,45,50,9,12
Australian Open,20,25,6,0,20,38,7,8
Australian Open,66,20,19,2,53,37,11,8
Australian Open,51,45,2,3,58,77,14,6
Australian Open,52,39,23,5,22,21,9,3
Australian Open,37,29,4,0,71,58,22,5
Australian Open,31,22,10,1,11,32,3,1
Australian Open,38,20,11,1,36,36,5,1
Australian Open,32,30,7,1,47,34,15,5
Australian Open,41,30,12,3,28,46,7,4
Australian Open,48,45,12,4,23,24,6,6
Australian Open,46,25,14,6,47,54,6,6
Australian Open,27,17,4,1,30,31,12,3
Australian Open,40,31,9,2,20,33,4,1
Australian Open,36,29,15,6,26,36,2,3
Australian Open,45,45,18,1,20,40,4,2
Australian Open,21,19,2,2,41,61,5,6
Australian Open,38,21,15,1,31,37,10,3
Australian Open,37,41,8,4,64,77,11,6
Australian Open,38,17,19,2,16,29,0,5
Australian Open,29,26,9,2,28,35,3,1
Australian Open,41,38,6,6,64,52,24,8
Australian Open,30,26,8,2,26,41,5,5
Australian Open,48,56,19,10,38,69,0,2
Australian Open,30,20,3,1,18,34,0,5
Australian Open,17,6,3,0,6,23,3,4
Australian Open,32,32,8,5,24,39,8,2
Australian Open,58,33,21,2,27,17,10,1
Australian Open,52,29,16,1,29,33,5,2
Australian Open,48,27,15,1,32,23,12,4
Australian Open,38,34,10,8,37,52,9,7
Australian Open,55,53,10,5,54,82,3,3
Australian Open,35,28,2,0,27,35,7,5
Australian Open,35,29,7,2,19,32,0,0
Australian Open,33,24,13,2,23,34,10,1
Australian Open,55,45,14,4,23,33,9,6
Australian Open,56,22,24,1,53,42,11,9
Australian Open,26,32,5,3,16,29,1,0
Australian Open,78,58,12,5,56,55,17,4
Australian Open,46,42,12,3,72,42,26,2
Australian Open,36,27,9,2,32,46,4,2
French Open,30,26,5,3,19,26,2,0
French Open,22,18,4,0,17,19,0,1
French Open,28,39,7,3,11,30,0,2
French Open,11,8,0,1,21,38,0,0
